id,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,population
13734,AUT,Austria,2022-01-01,1274628.0,3817.0,16845.0,30.0,8939617.0
13735,AUT,Austria,2022-01-02,1278327.0,3699.0,16859.0,14.0,8939617.0
13736,AUT,Austria,2022-01-03,1281328.0,3001.0,16867.0,8.0,8939617.0
13737,AUT,Austria,2022-01-04,1284811.0,3483.0,16879.0,12.0,8939617.0
13738,AUT,Austria,2022-01-05,1290817.0,6006.0,16900.0,21.0,8939617.0
13739,AUT,Austria,2022-01-06,1300899.0,10082.0,16912.0,12.0,8939617.0
13740,AUT,Austria,2022-01-07,1309691.0,8792.0,16922.0,10.0,8939617.0
13741,AUT,Austria,2022-01-08,1318582.0,8891.0,16931.0,9.0,8939617.0
13742,AUT,Austria,2022-01-09,1325632.0,7050.0,16945.0,14.0,8939617.0
13743,AUT,Austria,2022-01-10,1336348.0,10716.0,16953.0,8.0,8939617.0
13744,AUT,Austria,2022-01-11,1347274.0,10926.0,16966.0,13.0,8939617.0
13745,AUT,Austria,2022-01-12,1359957.0,12683.0,16978.0,12.0,8939617.0
13746,AUT,Austria,2022-01-13,1376504.0,16547.0,16988.0,10.0,8939617.0
13747,AUT,Austria,2022-01-14,1393335.0,16831.0,16997.0,9.0,8939617.0
13748,AUT,Austria,2022-01-15,1410269.0,16934.0,17006.0,9.0,8939617.0
13749,AUT,Austria,2022-01-16,1427326.0,17057.0,17018.0,12.0,8939617.0
13750,AUT,Austria,2022-01-17,1442182.0,14856.0,17026.0,8.0,8939617.0
13751,AUT,Austria,2022-01-18,1458292.0,16110.0,17037.0,11.0,8939617.0
13752,AUT,Austria,2022-01-19,1476626.0,18334.0,17045.0,8.0,8939617.0
13753,AUT,Austria,2022-01-20,1504720.0,28094.0,17053.0,8.0,8939617.0
13754,AUT,Austria,2022-01-21,1529850.0,25130.0,17065.0,12.0,8939617.0
13755,AUT,Austria,2022-01-22,1559478.0,29628.0,17073.0,8.0,8939617.0
13756,AUT,Austria,2022-01-23,1586146.0,26668.0,17089.0,16.0,8939617.0
13757,AUT,Austria,2022-01-24,1609498.0,23352.0,17100.0,11.0,8939617.0
13758,AUT,Austria,2022-01-25,1634631.0,25133.0,17116.0,16.0,8939617.0
13759,AUT,Austria,2022-01-26,1661328.0,26697.0,17129.0,13.0,8939617.0
13760,AUT,Austria,2022-01-27,1699469.0,38141.0,17144.0,15.0,8939617.0
13761,AUT,Austria,2022-01-28,1735230.0,35761.0,17154.0,10.0,8939617.0
13762,AUT,Austria,2022-01-29,1773059.0,37829.0,17172.0,18.0,8939617.0
13763,AUT,Austria,2022-01-30,1806650.0,33591.0,17192.0,20.0,8939617.0
13764,AUT,Austria,2022-01-31,1835602.0,28952.0,17207.0,15.0,8939617.0
13765,AUT,Austria,2022-02-01,1861707.0,26105.0,17223.0,16.0,8939617.0
13766,AUT,Austria,2022-02-02,1889437.0,27730.0,17236.0,13.0,8939617.0
13767,AUT,Austria,2022-02-03,1933415.0,43978.0,17252.0,16.0,8939617.0
13768,AUT,Austria,2022-02-04,1967057.0,33642.0,17273.0,21.0,8939617.0
13769,AUT,Austria,2022-02-05,2003905.0,36848.0,17297.0,24.0,8939617.0
13770,AUT,Austria,2022-02-06,2037105.0,33200.0,17314.0,17.0,8939617.0
13771,AUT,Austria,2022-02-07,2067085.0,29980.0,17339.0,25.0,8939617.0
13772,AUT,Austria,2022-02-08,2093012.0,25927.0,17358.0,19.0,8939617.0
13773,AUT,Austria,2022-02-09,2122068.0,29056.0,17384.0,26.0,8939617.0
13774,AUT,Austria,2022-02-10,2162487.0,40419.0,17400.0,16.0,8939617.0
13775,AUT,Austria,2022-02-11,2197838.0,35351.0,17419.0,19.0,8939617.0
13776,AUT,Austria,2022-02-12,2231218.0,33380.0,17447.0,28.0,8939617.0
13777,AUT,Austria,2022-02-13,2261101.0,29883.0,17479.0,32.0,8939617.0
13778,AUT,Austria,2022-02-14,2286139.0,25038.0,17511.0,32.0,8939617.0
13779,AUT,Austria,2022-02-15,2310227.0,24088.0,17534.0,23.0,8939617.0
