state,area,population,population_in_mil
Alabama,135775,4888949.0,4.889
Alaska,1700134,738068.0,0.738
Arizona,295274,7123898.0,7.124
Arkansas,137741,3020327.0,3.02
California,423999,39776830.0,39.777
Colorado,269618,5684203.0,5.684
Connecticut,14359,3588683.0,3.589
Florida,170313,21312211.0,21.312
Georgia,153952,10545138.0,10.545
Hawaii,28314,1426393.0,1.426
Idaho,216456,1753860.0,1.754
Illinois,150007,12768320.0,12.768
Indiana,94327,6699629.0,6.7
Iowa,145754,3160553.0,3.161
Kansas,213110,2918515.0,2.919
Kentucky,104664,4472265.0,4.472
Louisiana,134273,4682509.0,4.683
Maine,91652,1341582.0,1.342
Maryland,32134,6079602.0,6.08
Massachusetts,27337,6895917.0,6.896
Michigan,250737,9991177.0,9.991
Minnesota,225182,5628162.0,5.628
Mississippi,125444,2982785.0,2.983
Montana,380848,1062330.0,1.062
Nebraska,200356,1932549.0,1.933
Nevada,286367,3056824.0,3.057
New Hampshire,24219,1350575.0,1.351
New Jersey,22590,9032872.0,9.033
New Mexico,314925,2090708.0,2.091
New York,141090,19862512.0,19.863
North Carolina,139396,10390149.0,10.39
North Dakota,183123,755238.0,0.755
Ohio,116104,11694664.0,11.695
Oklahoma,181048,3940521.0,3.941
Oregon,254819,4199563.0,4.2
Pennsylvania,119290,12823989.0,12.824
Rhode Island,4002,1061712.0,1.062
South Carolina,82898,5088916.0,5.089
South Dakota,199743,877790.0,0.878
Tennessee,109158,6782564.0,6.783
Texas,695674,28704330.0,28.704
Utah,219901,3159345.0,3.159
Vermont,24903,623960.0,0.624
Virginia,110771,8525660.0,8.526
Washington,184674,7530552.0,7.531
West Virginia,62758,1803077.0,1.803
Wisconsin,169652,5818049.0,5.818
Wyoming,253348,573720.0,0.574
